Company Name,Industry,Career Page
Adani Energy Solutions Ltd.,Power,
Adani Enterprises Ltd.,Metals & Mining,
Adani Green Energy Ltd.,Power,
Adani Ports and Special Economic Zone Ltd.,Services,
Adani Power Ltd.,Power,
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,
Aditya Birla Capital Ltd.,Financial Services,
Aditya Birla Fashion and Retail Ltd.,Consumer Services,
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,
Aditya Birla Real Estate Ltd.,Realty,
Aditya Birla Sun Life AMC Ltd.,Financial Services,
Aditya Infotech Ltd.,Capital Goods,
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,
Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,
Afcons Infrastructure Ltd.,Construction,
Affle 3i Ltd.,Information Technology,
Ajanta Pharmaceuticals Ltd.,Healthcare,
Alkem Laboratories Ltd.,Healthcare,
Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,
Amber Enterprises India Ltd.,Consumer Durables,
Ambuja Cements Ltd.,Construction Materials,
Anand Rathi Wealth Ltd.,Financial Services,
Anant Raj Ltd.,Realty,
Angel One Ltd.,Financial Services,
Anthem Biosciences Ltd.,Healthcare,
Anupam Rasayan India Ltd.,Chemicals,
Apar Industries Ltd.,Capital Goods,
Apollo Hospitals Enterprise Ltd.,Healthcare,
Apollo Tyres Ltd.,Automobile and Auto Components,
Aptus Value Housing Finance India Ltd.,Financial Services,
Asahi India Glass Ltd.,Automobile and Auto Components,
Ashok Leyland Ltd.,Capital Goods,
Asian Paints Ltd.,Consumer Durables,
Aster DM Healthcare Ltd.,Healthcare,
Astral Ltd.,Capital Goods,
Ather Energy Ltd.,Automobile and Auto Components,
Atul Ltd.,Chemicals,
Aurobindo Pharma Ltd.,Healthcare,
Authum Investment & Infrastructure Ltd.,Financial Services,
Avenue Supermarts Ltd.,Consumer Services,
Axis Bank Ltd.,Financial Services,
BEML Ltd.,Capital Goods,
BLS International Services Ltd.,Consumer Services,
BSE Ltd.,Financial Services,
Bajaj Auto Ltd.,Automobile and Auto Components,
Bajaj Finance Ltd.,Financial Services,
Bajaj Finserv Ltd.,Financial Services,
Bajaj Holdings & Investment Ltd.,Financial Services,
Bajaj Housing Finance Ltd.,Financial Services,
Balkrishna Industries Ltd.,Automobile and Auto Components,
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,
Bandhan Bank Ltd.,Financial Services,
Bank of Baroda,Financial Services,
Bank of India,Financial Services,
Bank of Maharashtra,Financial Services,
Bata India Ltd.,Consumer Durables,
Bayer Cropscience Ltd.,Chemicals,
Belrise Industries Ltd.,Automobile and Auto Components,
Berger Paints India Ltd.,Consumer Durables,
Bharat Dynamics Ltd.,Capital Goods,
Bharat Electronics Ltd.,Capital Goods,
Bharat Forge Ltd.,Automobile and Auto Components,
Bharat Heavy Electricals Ltd.,Capital Goods,
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,
Bharti Airtel Ltd.,Telecommunication,
Bharti Hexacom Ltd.,Telecommunication,
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,
Billionbrains Garage Ventures Ltd.,Financial Services,
Biocon Ltd.,Healthcare,
Birlasoft Ltd.,Information Technology,
Blue Dart Express Ltd.,Services,
Blue Jet Healthcare Ltd.,Healthcare,
Blue Star Ltd.,Consumer Durables,
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,
Bosch Ltd.,Automobile and Auto Components,
Brainbees Solutions Ltd.,Consumer Services,
Brigade Enterprises Ltd.,Realty,
Britannia Industries Ltd.,Fast Moving Consumer Goods,
C.E. Info Systems Ltd.,Information Technology,
CCL Products (I) Ltd.,Fast Moving Consumer Goods,
CESC Ltd.,Power,
CG Power and Industrial Solutions Ltd.,Capital Goods,
CRISIL Ltd.,Financial Services,
Can Fin Homes Ltd.,Financial Services,
Canara Bank,Financial Services,
Canara HSBC Life Insurance Company Ltd.,Financial Services,
Caplin Point Laboratories Ltd.,Healthcare,
Capri Global Capital Ltd.,Financial Services,
Carborundum Universal Ltd.,Capital Goods,
Cartrade Tech Ltd.,Consumer Services,
Castrol India Ltd.,Oil Gas & Consumable Fuels,
Ceat Ltd.,Automobile and Auto Components,
Cemindia Projects Ltd.,Construction,
Central Bank of India,Financial Services,
Central Depository Services (India) Ltd.,Financial Services,
Chalet Hotels Ltd.,Consumer Services,
Chambal Fertilizers & Chemicals Ltd.,Chemicals,
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,
Choice International Ltd.,Financial Services,
Cholamandalam Financial Holdings Ltd.,Financial Services,
Cholamandalam Investment and Finance Company Ltd.,Financial Services,
Cipla Ltd.,Healthcare,
City Union Bank Ltd.,Financial Services,
Clean Science and Technology Ltd.,Chemicals,
Coal India Ltd.,Oil Gas & Consumable Fuels,
Cochin Shipyard Ltd.,Capital Goods,
Coforge Ltd.,Information Technology,
Cohance Lifesciences Ltd.,Healthcare,
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,
Computer Age Management Services Ltd.,Financial Services,
Concord Biotech Ltd.,Healthcare,
Container Corporation of India Ltd.,Services,
Coromandel International Ltd.,Chemicals,
Craftsman Automation Ltd.,Automobile and Auto Components,
CreditAccess Grameen Ltd.,Financial Services,
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,
Cummins India Ltd.,Capital Goods,
Cyient Ltd.,Information Technology,
DCM Shriram Ltd.,Diversified,
DLF Ltd.,Realty,
DOMS Industries Ltd.,Fast Moving Consumer Goods,
Dabur India Ltd.,Fast Moving Consumer Goods,
Dalmia Bharat Ltd.,Construction Materials,
Data Patterns (India) Ltd.,Capital Goods,
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,
Deepak Nitrite Ltd.,Chemicals,
Delhivery Ltd.,Services,
Devyani International Ltd.,Consumer Services,
Divi's Laboratories Ltd.,Healthcare,
Dixon Technologies (India) Ltd.,Consumer Durables,
Dr. Lal Path Labs Ltd.,Healthcare,
Dr. Reddy's Laboratories Ltd.,Healthcare,
Dummy Vedanta Ltd. 1,Metals & Mining,
Dummy Vedanta Ltd. 2,Power,
Dummy Vedanta Ltd. 3,Oil Gas & Consumable Fuels,
Dummy Vedanta Ltd. 4,Metals & Mining,
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,
EIH Ltd.,Consumer Services,
Eicher Motors Ltd.,Automobile and Auto Components,
Elecon Engineering Co. Ltd.,Capital Goods,
Elgi Equipments Ltd.,Capital Goods,
Emami Ltd.,Fast Moving Consumer Goods,
Emcure Pharmaceuticals Ltd.,Healthcare,
Emmvee Photovoltaic Power Ltd.,Capital Goods,
Endurance Technologies Ltd.,Automobile and Auto Components,
Engineers India Ltd.,Construction,
Eris Lifesciences Ltd.,Healthcare,
Escorts Kubota Ltd.,Capital Goods,
Eternal Ltd.,Consumer Services,
Exide Industries Ltd.,Automobile and Auto Components,
FSN E-Commerce Ventures Ltd.,Consumer Services,
Federal Bank Ltd.,Financial Services,
Fertilisers and Chemicals Travancore Ltd.,Chemicals,
Finolex Cables Ltd.,Capital Goods,
Firstsource Solutions Ltd.,Services,
Five-Star Business Finance Ltd.,Financial Services,
Force Motors Ltd.,Automobile and Auto Components,
Fortis Healthcare Ltd.,Healthcare,
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,
GE Vernova T&D India Ltd.,Capital Goods,
GMR Airports Ltd.,Services,
Gabriel India Ltd.,Automobile and Auto Components,
Gallantt Ispat Ltd.,Capital Goods,
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,
General Insurance Corporation of India,Financial Services,
Gillette India Ltd.,Fast Moving Consumer Goods,
Gland Pharma Ltd.,Healthcare,
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,
Glenmark Pharmaceuticals Ltd.,Healthcare,
Global Health Ltd.,Healthcare,
Go Digit General Insurance Ltd.,Financial Services,
Godawari Power & Ispat Ltd.,Capital Goods,
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,
Godrej Industries Ltd.,Diversified,
Godrej Properties Ltd.,Realty,
Granules India Ltd.,Healthcare,
Graphite India Ltd.,Capital Goods,
Grasim Industries Ltd.,Construction Materials,
Gravita India Ltd.,Metals & Mining,
Great Eastern Shipping Co. Ltd.,Services,
Gujarat Fluorochemicals Ltd.,Chemicals,
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,
H.E.G. Ltd.,Capital Goods,
HBL Engineering Ltd.,Capital Goods,
HCL Technologies Ltd.,Information Technology,
HDB Financial Services Ltd.,Financial Services,
HDFC Asset Management Company Ltd.,Financial Services,
HDFC Bank Ltd.,Financial Services,
HDFC Life Insurance Company Ltd.,Financial Services,
HFCL Ltd.,Telecommunication,
Havells India Ltd.,Consumer Durables,
Hero MotoCorp Ltd.,Automobile and Auto Components,
Hexaware Technologies Ltd.,Information Technology,
Himadri Speciality Chemical Ltd.,Chemicals,
Hindalco Industries Ltd.,Metals & Mining,
Hindustan Aeronautics Ltd.,Capital Goods,
Hindustan Copper Ltd.,Metals & Mining,
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,
Hindustan Zinc Ltd.,Metals & Mining,
Hitachi Energy India Ltd.,Capital Goods,
Home First Finance Company India Ltd.,Financial Services,
Honasa Consumer Ltd.,Fast Moving Consumer Goods,
Honeywell Automation India Ltd.,Capital Goods,
Housing & Urban Development Corporation Ltd.,Financial Services,
Hyundai Motor India Ltd.,Automobile and Auto Components,
ICICI Bank Ltd.,Financial Services,
ICICI Lombard General Insurance Company Ltd.,Financial Services,
ICICI Prudential Asset Management Company Ltd.,Financial Services,
ICICI Prudential Life Insurance Company Ltd.,Financial Services,
IDBI Bank Ltd.,Financial Services,
IDFC First Bank Ltd.,Financial Services,
IFCI Ltd.,Financial Services,
IIFL Finance Ltd.,Financial Services,
IRB Infrastructure Developers Ltd.,Construction,
IRCON International Ltd.,Construction,
ITC Hotels Ltd.,Consumer Services,
ITC Ltd.,Fast Moving Consumer Goods,
ITI Ltd.,Telecommunication,
Indegene Ltd.,Healthcare,
India Cements Ltd.,Construction Materials,
Indiamart Intermesh Ltd.,Consumer Services,
Indian Bank,Financial Services,
Indian Energy Exchange Ltd.,Financial Services,
Indian Hotels Co. Ltd.,Consumer Services,
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,
Indian Overseas Bank,Financial Services,
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,
Indian Railway Finance Corporation Ltd.,Financial Services,
Indian Renewable Energy Development Agency Ltd.,Financial Services,
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,
Indus Towers Ltd.,Telecommunication,
IndusInd Bank Ltd.,Financial Services,
Info Edge (India) Ltd.,Consumer Services,
Infosys Ltd.,Information Technology,
Inox Wind Ltd.,Capital Goods,
Intellect Design Arena Ltd.,Information Technology,
InterGlobe Aviation Ltd.,Services,
International Gemological Institute Ltd.,Services,
Inventurus Knowledge Solutions Ltd.,Information Technology,
Ipca Laboratories Ltd.,Healthcare,
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,
J.K. Cement Ltd.,Construction Materials,
JBM Auto Ltd.,Automobile and Auto Components,
JK Tyre & Industries Ltd.,Automobile and Auto Components,
JM Financial Ltd.,Financial Services,
JSW Cement Ltd.,Construction Materials,
JSW Dulux Ltd.,Consumer Durables,
JSW Energy Ltd.,Power,
JSW Infrastructure Ltd.,Services,
JSW Steel Ltd.,Metals & Mining,
Jain Resource Recycling Ltd.,Metals & Mining,
Jaiprakash Power Ventures Ltd.,Power,
Jammu & Kashmir Bank Ltd.,Financial Services,
Jindal Saw Ltd.,Capital Goods,
Jindal Stainless Ltd.,Metals & Mining,
Jindal Steel Ltd.,Metals & Mining,
Jio Financial Services Ltd.,Financial Services,
Jubilant Foodworks Ltd.,Consumer Services,
Jubilant Ingrevia Ltd.,Chemicals,
Jubilant Pharmova Ltd.,Healthcare,
Jupiter Wagons Ltd.,Capital Goods,
Jyoti CNC Automation Ltd.,Capital Goods,
K.P.R. Mill Ltd.,Textiles,
KEI Industries Ltd.,Capital Goods,
KPIT Technologies Ltd.,Information Technology,
Kajaria Ceramics Ltd.,Consumer Durables,
Kalpataru Projects International Ltd.,Construction,
Kalyan Jewellers India Ltd.,Consumer Durables,
Karur Vysya Bank Ltd.,Financial Services,
Kaynes Technology India Ltd.,Capital Goods,
Kec International Ltd.,Construction,
Kfin Technologies Ltd.,Financial Services,
Kirloskar Oil Eng Ltd.,Capital Goods,
Kotak Mahindra Bank Ltd.,Financial Services,
Krishna Institute of Medical Sciences Ltd.,Healthcare,
L&T Finance Ltd.,Financial Services,
L&T Technology Services Ltd.,Information Technology,
LG Electronics India Ltd.,Consumer Durables,
LIC Housing Finance Ltd.,Financial Services,
LT Foods Ltd.,Fast Moving Consumer Goods,
LTM Ltd.,Information Technology,
Larsen & Toubro Ltd.,Construction,
Latent View Analytics Ltd.,Information Technology,
Laurus Labs Ltd.,Healthcare,
Leela Palaces Hotels & Resorts Ltd.,Consumer Services,
Lemon Tree Hotels Ltd.,Consumer Services,
Lenskart Solutions Ltd.,Consumer Services,
Life Insurance Corporation of India,Financial Services,
Linde India Ltd.,Chemicals,
Lloyds Metals And Energy Ltd.,Metals & Mining,
Lodha Developers Ltd.,Realty,
Lupin Ltd.,Healthcare,
MMTC Ltd.,Services,
MRF Ltd.,Automobile and Auto Components,
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,
Mahindra & Mahindra Financial Services Ltd.,Financial Services,
Mahindra & Mahindra Ltd.,Automobile and Auto Components,
Manappuram Finance Ltd.,Financial Services,
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,
Mankind Pharma Ltd.,Healthcare,
Marico Ltd.,Fast Moving Consumer Goods,
Maruti Suzuki India Ltd.,Automobile and Auto Components,
Max Financial Services Ltd.,Financial Services,
Max Healthcare Institute Ltd.,Healthcare,
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,
Meesho Ltd.,Consumer Services,
Minda Corporation Ltd.,Automobile and Auto Components,
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,
Motilal Oswal Financial Services Ltd.,Financial Services,
MphasiS Ltd.,Information Technology,
Multi Commodity Exchange of India Ltd.,Financial Services,
Muthoot Finance Ltd.,Financial Services,
NATCO Pharma Ltd.,Healthcare,
NBCC (India) Ltd.,Construction,
NCC Ltd.,Construction,
NHPC Ltd.,Power,
NLC India Ltd.,Power,
NMDC Ltd.,Metals & Mining,
NMDC Steel Ltd.,Metals & Mining,
NTPC Green Energy Ltd.,Power,
NTPC Ltd.,Power,
Narayana Hrudayalaya Ltd.,Healthcare,
National Aluminium Co. Ltd.,Metals & Mining,
Nava Ltd.,Power,
Navin Fluorine International Ltd.,Chemicals,
Nestle India Ltd.,Fast Moving Consumer Goods,
Netweb Technologies India Ltd.,Information Technology,
Neuland Laboratories Ltd.,Healthcare,
Newgen Software Technologies Ltd.,Information Technology,
Nippon Life India Asset Management Ltd.,Financial Services,
Niva Bupa Health Insurance Company Ltd.,Financial Services,
Nuvama Wealth Management Ltd.,Financial Services,
Nuvoco Vistas Corporation Ltd.,Construction Materials,
Oberoi Realty Ltd.,Realty,
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,
Oil India Ltd.,Oil Gas & Consumable Fuels,
Ola Electric Mobility Ltd.,Automobile and Auto Components,
Olectra Greentech Ltd.,Automobile and Auto Components,
One 97 Communications Ltd.,Financial Services,
Onesource Specialty Pharma Ltd.,Healthcare,
Oracle Financial Services Software Ltd.,Information Technology,
PB Fintech Ltd.,Financial Services,
PCBL Chemical Ltd.,Chemicals,
PG Electroplast Ltd.,Consumer Durables,
PI Industries Ltd.,Chemicals,
PNB Housing Finance Ltd.,Financial Services,
PTC Industries Ltd.,Capital Goods,
PVR INOX Ltd.,Media Entertainment & Publication,
Page Industries Ltd.,Textiles,
Paradeep Phosphates Ltd.,Chemicals,
Patanjali Foods Ltd.,Fast Moving Consumer Goods,
Persistent Systems Ltd.,Information Technology,
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,
Pfizer Ltd.,Healthcare,
Phoenix Mills Ltd.,Realty,
Physicswallah Ltd.,Consumer Services,
Pidilite Industries Ltd.,Chemicals,
Pine Labs Ltd.,Financial Services,
Piramal Finance Ltd.,Financial Services,
Piramal Pharma Ltd.,Healthcare,
Poly Medicure Ltd.,Healthcare,
Polycab India Ltd.,Capital Goods,
Poonawalla Fincorp Ltd.,Financial Services,
Power Finance Corporation Ltd.,Financial Services,
Power Grid Corporation of India Ltd.,Power,
Premier Energies Ltd.,Capital Goods,
Prestige Estates Projects Ltd.,Realty,
Punjab National Bank,Financial Services,
R R Kabel Ltd.,Capital Goods,
RBL Bank Ltd.,Financial Services,
REC Ltd.,Financial Services,
RHI MAGNESITA INDIA LTD.,Capital Goods,
RITES Ltd.,Construction,
Radico Khaitan Ltd,Fast Moving Consumer Goods,
Rail Vikas Nigam Ltd.,Construction,
Railtel Corporation Of India Ltd.,Telecommunication,
Rainbow Childrens Medicare Ltd.,Healthcare,
Ramkrishna Forgings Ltd.,Automobile and Auto Components,
Redington Ltd.,Services,
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,
Reliance Power Ltd.,Power,
SBFC Finance Ltd.,Financial Services,
SBI Cards and Payment Services Ltd.,Financial Services,
SBI Life Insurance Company Ltd.,Financial Services,
SJVN Ltd.,Power,
SRF Ltd.,Chemicals,
Sagility Ltd.,Information Technology,
Sai Life Sciences Ltd.,Healthcare,
Sammaan Capital Ltd.,Financial Services,
Samvardhana Motherson International Ltd.,Automobile and Auto Components,
Sapphire Foods India Ltd.,Consumer Services,
Sarda Energy and Minerals Ltd.,Metals & Mining,
Saregama India Ltd,Media Entertainment & Publication,
Schaeffler India Ltd.,Automobile and Auto Components,
Schneider Electric Infrastructure Ltd.,Capital Goods,
Shipping Corporation of India Ltd.,Services,
Shree Cement Ltd.,Construction Materials,
Shriram Finance Ltd.,Financial Services,
Shyam Metalics and Energy Ltd.,Capital Goods,
Siemens Energy India Ltd.,Capital Goods,
Siemens Ltd.,Capital Goods,
Signatureglobal (India) Ltd.,Realty,
Sobha Ltd.,Realty,
Solar Industries India Ltd.,Chemicals,
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,
Sonata Software Ltd.,Information Technology,
Star Health and Allied Insurance Company Ltd.,Financial Services,
State Bank of India,Financial Services,
Steel Authority of India Ltd.,Metals & Mining,
Sumitomo Chemical India Ltd.,Chemicals,
Sun Pharmaceutical Industries Ltd.,Healthcare,
Sun TV Network Ltd.,Media Entertainment & Publication,
Sundaram Finance Ltd.,Financial Services,
Supreme Industries Ltd.,Capital Goods,
Supreme Petrochem Ltd.,Chemicals,
Suzlon Energy Ltd.,Capital Goods,
Swan Corp Ltd.,Chemicals,
Swiggy Ltd.,Consumer Services,
Syngene International Ltd.,Healthcare,
Syrma SGS Technology Ltd.,Capital Goods,
TBO Tek Ltd.,Consumer Services,
TVS Motor Company Ltd.,Automobile and Auto Components,
Tata Capital Ltd.,Financial Services,
Tata Chemicals Ltd.,Chemicals,
Tata Communications Ltd.,Telecommunication,
Tata Consultancy Services Ltd.,Information Technology,
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,
Tata Elxsi Ltd.,Information Technology,
Tata Investment Corporation Ltd.,Financial Services,
Tata Motors Ltd.,Capital Goods,
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,
Tata Power Co. Ltd.,Power,
Tata Steel Ltd.,Metals & Mining,
Tata Technologies Ltd.,Information Technology,
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,
Tech Mahindra Ltd.,Information Technology,
Techno Electric & Engineering Company Ltd.,Construction,
Tega Industries Ltd.,Capital Goods,
Tejas Networks Ltd.,Telecommunication,
Tenneco Clean Air India Ltd.,Automobile and Auto Components,
The New India Assurance Company Ltd.,Financial Services,
The Ramco Cements Ltd.,Construction Materials,
Thermax Ltd.,Capital Goods,
Timken India Ltd.,Capital Goods,
Titagarh Rail Systems Ltd.,Capital Goods,
Titan Company Ltd.,Consumer Durables,
Torrent Pharmaceuticals Ltd.,Healthcare,
Torrent Power Ltd.,Power,
Transformers And Rectifiers (India) Ltd.,Capital Goods,
Travel Food Services Ltd.,Consumer Services,
Trent Ltd.,Consumer Services,
Trident Ltd.,Textiles,
Triveni Turbine Ltd.,Capital Goods,
Tube Investments of India Ltd.,Automobile and Auto Components,
UCO Bank,Financial Services,
UNO Minda Ltd.,Automobile and Auto Components,
UPL Ltd.,Chemicals,
UTI Asset Management Company Ltd.,Financial Services,
UltraTech Cement Ltd.,Construction Materials,
Union Bank of India,Financial Services,
United Breweries Ltd.,Fast Moving Consumer Goods,
United Spirits Ltd.,Fast Moving Consumer Goods,
Urban Company Ltd.,Consumer Services,
Usha Martin Ltd.,Capital Goods,
Vardhman Textiles Ltd.,Textiles,
Varun Beverages Ltd.,Fast Moving Consumer Goods,
Vedanta Ltd.,Metals & Mining,
Vijaya Diagnostic Centre Ltd.,Healthcare,
Vishal Mega Mart Ltd.,Consumer Services,
Vodafone Idea Ltd.,Telecommunication,
Voltas Ltd.,Consumer Durables,
Waaree Energies Ltd.,Capital Goods,
Welspun Corp Ltd.,Capital Goods,
Welspun Living Ltd.,Textiles,
Whirlpool of India Ltd.,Consumer Durables,
Wipro Ltd.,Information Technology,
Wockhardt Ltd.,Healthcare,
Yes Bank Ltd.,Financial Services,
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,
Zen Technologies Ltd.,Capital Goods,
Zensar Technolgies Ltd.,Information Technology,
Zydus Lifesciences Ltd.,Healthcare,
Zydus Wellness Ltd.,Fast Moving Consumer Goods,
eClerx Services Ltd.,Services,
